species,accession,taxid,order,suborder,infraorder,superfamily,family,subfamily
Bombus_turneri,GCA_014825825.1,686820,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_vestalis,GCA_963556215.1,30202,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Buathra_laborator,GCA_934046635.1,1419289,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Campoletis_raptor,GCA_948107755.1,2922060,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Camponotus_fellah,GCA_048181845.1,213863,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cardiocondyla_obscurior,GCA_019399895.2,286306,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Cataglyphis_hispanica,GCA_021464435.1,1086592,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cataglyphis_niger,GCA_050437125.1,72791,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cephus_spinipes,GCA_963971525.1,1001278,Hymenoptera,NaN,NaN,Cephoidea,Cephidae,NaN
Cerceris_ruficornis,GCA_963989415.1,2494881,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Philanthinae
Cerceris_rybyensis,GCA_910591515.1,1167272,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Philanthinae
Chalcis_sispes,GCA_949987625.1,1118640,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Chalcididae,Chalcidinae
Chelonus_formosanus,GCA_028641665.1,2739011,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Cheloninae
Clistopyga_incitator,GCA_947507545.1,494138,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Coelioxys_conoideus,GCA_947623535.1,2922063,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Colletes_latitarsis,GCA_051014445.1,2605962,Hymenoptera,Apocrita,Aculeata,Apoidea,Colletidae,Colletinae
Cotesia_glomerata,GCA_020080835.1,32391,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Cotesia_ruficrus,GCA_048537615.1,89806,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Crossocerus_cetratus,GCA_963675795.1,2494894,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Cryptus_armator,GCA_963971235.1,494149,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Cryptus_viduatorius,GCA_964006125.1,273764,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Cylloceria_caligata,GCA_963942595.1,2881813,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cylloceriinae
Diachasmimorpha_longicaudata,GCA_034640455.1,58733,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Opiinae
Diadegma_fenestrale,GCA_037043255.1,310001,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Dinocampus_coccinellae,GCA_963920625.1,144245,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Euphorinae
Diplazon_laetatorius,GCA_963662125.1,65311,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Diplazontinae
Diprion_similis,GCA_021155765.1,362088,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Dolichomitus_mesocentrus,GCA_964273575.1,2881873,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Dolichovespula_media,GCA_911387685.1,881891,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dolichovespula_saxonica,GCA_911387935.1,85443,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dolichovespula_sylvestris,GCA_918808275.2,85444,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dryocosmus_kuriphilus,GCA_038277395.1,310278,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Cynipidae,Cynipinae
Dyspetes_luteomarginatus,GCA_963669185.1,1045598,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Ectemnius_cavifrons,GCA_964023945.1,1518028,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Ectemnius_continuus,GCA_910591665.1,1126389,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Ectemnius_lituratus,GCA_910593735.2,2495015,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Encarsia_formosa,GCA_038277355.1,32400,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Coccophaginae
